timestamp,checkerboard_px,checkerboard_py,checkerboard_pz,checkerboard_qx,checkerboard_qy,checkerboard_qz,checkerboard_qw,torso_px,torso_py,torso_pz,torso_qx,torso_qy,torso_qz,torso_qw,l_shoulder_px,l_shoulder_py,l_shoulder_pz,l_shoulder_qx,l_shoulder_qy,l_shoulder_qz,l_shoulder_qw
1782290084.820250,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.830247,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.840245,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.850245,913.97852,226.10772,1140.3133,-0.64180833,0.62178708,-0.31802288,0.31674019,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.860408,913.9635,226.09714,1140.3157,-0.64181667,0.62177496,-0.31802046,0.31674951,-281.8794,-49.344756,970.85935,0.010358659,0.013814036,0.0067012697,0.99982847,-401.63118,187.7393,1305.7306,0.015397057,0.0055361463,0.0073930819,0.9998388
1782290084.870348,913.96451,226.08858,1140.3188,-0.64180634,0.62177828,-0.31802993,0.31675442,-281.8644,-49.393892,970.8941,0.010371803,0.013867581,0.0070255283,0.99982536,-401.6515,187.73165,1305.7595,0.015493165,0.0057455613,0.0073952058,0.99983612
1782290084.880268,913.97214,226.10949,1140.3143,-0.64180708,0.62178392,-0.31802404,0.31674776,-281.87874,-49.381413,970.86227,0.010368396,0.013841827,0.0071727643,0.99982471,-401.65633,187.75573,1305.7564,0.015646634,0.0058238712,0.007426898,0.99983304
1782290084.890277,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.900252,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.910248,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.920250,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
